1 - [0, 1, 0],(1) (v=[0,707106781186547, 0,707106781186547, 0],(0))
2 - [0,707106781186547, 1,70710678118655, 0],(1) (v=[0,697106781186547, 0,607106781186547, 0],(0))
3 - [1,40421356237309, 2,31421356237309, 0],(1) (v=[0,687106781186547, 0,507106781186548, 0],(0))
4 - [2,09132034355964, 2,82132034355964, 0],(1) (v=[0,677106781186547, 0,407106781186548, 0],(0))
5 - [2,76842712474619, 3,22842712474619, 0],(1) (v=[0,667106781186547, 0,307106781186548, 0],(0))
6 - [3,43553390593274, 3,53553390593274, 0],(1) (v=[0,657106781186547, 0,207106781186548, 0],(0))
7 - [4,09264068711929, 3,74264068711928, 0],(1) (v=[0,647106781186547, 0,107106781186548, 0],(0))
8 - [4,73974746830583, 3,84974746830583, 0],(1) (v=[0,637106781186547, 0,00710678118654753, 0],(0))
9 - [5,37685424949238, 3,85685424949238, 0],(1) (v=[0,627106781186547, -0,0928932188134525, 0],(0))
10 - [6,00396103067893, 3,76396103067893, 0],(1) (v=[0,617106781186547, -0,192893218813452, 0],(0))
11 - [6,62106781186548, 3,57106781186548, 0],(1) (v=[0,607106781186547, -0,292893218813452, 0],(0))
12 - [7,22817459305202, 3,27817459305202, 0],(1) (v=[0,597106781186547, -0,392893218813453, 0],(0))
13 - [7,82528137423857, 2,88528137423857, 0],(1) (v=[0,587106781186547, -0,492893218813452, 0],(0))
14 - [8,41238815542512, 2,39238815542512, 0],(1) (v=[0,577106781186547, -0,592893218813452, 0],(0))
15 - [8,98949493661167, 1,79949493661167, 0],(1) (v=[0,567106781186547, -0,692893218813452, 0],(0))
16 - [9,55660171779821, 1,10660171779821, 0],(1) (v=[0,557106781186547, -0,792893218813452, 0],(0))
17 - [10,1137084989848, 0,31370849898476, 0],(1) (v=[0,547106781186547, -0,892893218813452, 0],(0))
